studentId,class
1,10A
2,5Z
3,7S
4,3J
5,2Z
6,1W
7,11N
8,10O
9,2R
10,4R
11,11A
12,11S
13,4Q
14,5I
15,3I
16,9G
17,12M
18,3R
19,11M
20,4H
21,6P
22,3K
23,4A
24,8F
25,3P
26,11K
27,5M
28,10S
29,5Y
30,3H
31,11V
32,10B
33,10S
34,12G
35,4E
36,3T
37,2G
38,3I
39,11P
40,7E
41,3I
42,4G
43,4K
44,7X
45,3W
46,3E
47,1O
48,11V
49,6H
50,5U
51,3Q
52,1L
53,6H
54,7L
55,2E
56,7W
57,7E
58,8W
59,1C
60,9C
61,4Q
62,3C
63,4Z
64,12O
65,9S
66,7W
67,2L
68,9R
69,11C
70,7P
71,8J
72,4W
73,8J
74,8A
75,5P
76,5K
77,8I
78,2T
79,10E
80,10B
81,11U
82,4Q
83,5V
84,9U
85,6S
86,6O
87,9M
88,7H
89,2M
90,4G
91,9S
92,12T
93,8R
94,3V
95,6I
96,2A
97,12P
98,11Y
99,5O
100,7C
101,12W
102,6K
103,6X
104,8X
105,10F
106,8V
107,2N
108,5C
109,7O
110,5K
111,12O
112,6W
113,1D
114,5C
115,10J
116,7O
117,2V
118,10O
119,11N
120,8S
121,7L
122,5Y
123,4R
124,9G
125,10M
126,1M
127,3Y
128,5M
129,3T
130,6X
131,10S
132,2N
133,9K
134,3V
135,5F
136,8L
137,12P
138,8O
139,5X
140,3H
141,9I
142,9W
143,1I
144,9T
145,4R
146,10Y
147,9D
148,8M
149,10K
150,11B
151,12L
152,4I
153,2O
154,7J
155,3J
156,6Q
157,9H
158,4C
159,7I
160,7D
161,9S
162,9Q
163,7R
164,4W
165,10J
166,9J
167,10W
168,3F
169,4A
170,3N
171,8K
172,5H
173,2X
174,7U
175,11B
176,6B
177,3Y
178,7U
179,4A
180,12W
181,4E
182,12L
183,4L
184,8R
185,11V
186,11B
187,2N
188,2A
189,6U
190,1T
191,3K
192,12M
193,8H
194,7U
195,2T
196,4S
197,3H
198,5J
199,9B
200,1F
201,5E
202,12T
203,5X
204,7P
205,11T
206,3P
207,3J
208,7W
209,1G
210,10U
211,4K
212,11C
213,1W
214,10K
215,8T
216,7P
217,10S
218,12H
219,2M
220,6D
221,12Z
222,11T
223,5U
224,10V
225,10H
226,9P
227,10Y
228,1K
229,10V
230,4Z
231,1W
232,4F
233,6B
234,9V
235,8P
236,1Y
237,10Y
238,7H
239,8C
240,10S
241,9B
242,5U
243,12Z
244,10O
245,9Q
246,10D
247,8A
248,9Q
249,7Z
250,6X
251,5I
252,9M
253,6C
254,9W
255,1D
256,6I
257,11I
258,8J
259,8A
260,6R
261,9Y
262,10O
263,9W
264,10E
265,4Q
266,7J
267,11N
268,5F
269,4B
270,2P
271,8H
272,3X
273,9E
274,6F
275,2X
276,5H
277,6I
278,3U
279,11K
280,12X
281,1X
282,4A
283,6W
284,4X
285,2O
286,8S
287,5R
288,4D
289,4U
290,2D
291,10G
292,11D
293,6O
294,7V
295,2Z
296,1I
297,7M
298,5C
299,11Q
300,2V
301,11C
302,1R
303,7E
304,9F
305,9I
306,11C
307,8M
308,6Q
309,11X
310,10S
311,6K
312,10X
313,8Y
314,9A
315,12I
316,2M
317,9I
318,10I
319,4T
320,9Z
321,10D
322,10F
323,9H
